,smiles,E1-CC2,E2-CC2,f1-CC2,f2-CC2,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-PBE0.1,E2-PBE0.1,f1-PBE0.1,f2-PBE0.1,E1-CAM,E2-CAM,f1-CAM,f2-CAM,mol_id
10624,[H]N1C([H])(C#N)C2([H])C([H])([H])C12C([H])([H])[H],0.23857913,0.26059081,0.012409,0.01204461,0.23099784,0.24814798,0.00415647,0.00798633,0.23099784,0.24814798,0.00415647,0.00798633,0.23739697,0.25942451,0.0087,0.0096,10624
20121,[H]c1nc(C2([H])OC2([H])[H])no1,0.22737583,0.24096394,0.00578441,0.01804472,0.21474825,0.21942463,0.00621598,0.00478544,0.21474825,0.21942463,0.00621598,0.00478544,0.22561881,0.23803273,0.0052,0.0215,20121
19904,[H]C1([H])N2C3([H])C4([H])OC1([H])C4([H])C23[H],0.22515163,0.25583232,0.00313929,0.00381395,0.24353939,0.27006378,0.003781,0.00073942,0.24353939,0.27006378,0.003781,0.00073942,0.24102045,0.2696004,0.0031,0.0032,19904
7724,[H]OC1([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])[H],0.26202149,0.30721223,0.00622264,0.02145825,0.27407883,0.30840281,0.00387601,0.01280131,0.27407883,0.30840281,0.00387601,0.01280131,0.26327952,0.30782705,0.0041,0.011,7724
341,[H]OC([H])([H])C(=O)C#N,0.15724804,0.24517242,0.00033217,0.0473211,0.14767154,0.1940061,0.00022774,0.03568856,0.14767154,0.1940061,0.00022774,0.03568856,0.15122715,0.22374459,0.0003,0.0441,341
14757,[H]N1C([H])([H])C1([H])C([H])([H])C#CC#N,0.22001251,0.2291602,3.99e-06,0.00242555,0.18861289,0.19725716,6.77e-06,0.00079006,0.18861289,0.19725716,6.77e-06,0.00079006,0.18789563,0.19606868,0.0,0.0012,14757
19246,[H]OC1([H])C2([H])OC1([H])C1([H])OC21[H],0.24739033,0.25887452,0.00923694,0.00055892,0.26341674,0.27254697,0.00050781,0.00084716,0.26341674,0.27254697,0.00050781,0.00084716,0.26370213,0.26785848,0.005,0.0005,19246
8403,[H]OC([H])([H])C(C#N)(N([H])C([H])([H])[H])C([H])([H])[H],0.24132759,0.27223567,0.00443809,0.00219698,0.23038172,0.24797561,0.00128177,0.00395755,0.23038172,0.24797561,0.00128177,0.00395755,0.23842595,0.26142735,0.0027,0.0005,8403
1311,[H]C([H])([H])C1(C([H])([H])[H])OC([H])([H])C([H])([H])C1([H])[H],0.25665435,0.2881507,0.00480607,0.03521065,0.27033529,0.30148783,0.00264838,0.03138421,0.27033529,0.30148783,0.00264838,0.03138421,0.2698944,0.30035959,0.0023,0.0214,1311
8726,[H]C#CC([H])([H])N=C(C#N)N([H])[H],0.20087494,0.23445628,0.00020199,0.19831754,0.18283076,0.22187782,8.245e-05,0.16918212,0.18283076,0.22187782,8.245e-05,0.16918212,0.19112222,0.22528071,0.0001,0.2039,8726
3703,[H]Oc1nnn(C([H])([H])[H])n1,0.22249659,0.23133491,0.09522498,0.00894921,0.22024229,0.22601539,0.01011039,0.11487596,0.22024229,0.22601539,0.01011039,0.11487596,0.2262656,0.22669924,0.1283,0.0092,3703
2325,[H]C([H])([H])C(=O)C1([H])N(C([H])([H])[H])C1([H])[H],0.15737186,0.20790333,0.00567859,0.08048565,0.15157808,0.19446335,0.00761421,0.05071612,0.15157808,0.19446335,0.00761421,0.05071612,0.15576569,0.20822903,0.0038,0.0642,2325
6518,[H]OC([H])([H])C#CC([H])([H])C(=O)N([H])[H],0.21618575,0.24753712,0.00049959,6.104e-05,0.21251973,0.22406417,0.00129809,0.00027313,0.21251973,0.22406417,0.00129809,0.00027313,0.21198481,0.22271561,0.0005,0.0001,6518
6149,[H]N([H])C(=O)C([H])([H])C(=O)N([H])C([H])([H])[H],0.2159004,0.2205827,0.00288636,0.00188587,0.21379537,0.2189895,0.00632306,0.00199134,0.21379537,0.2189895,0.00632306,0.00199134,0.21474101,0.21850046,0.0017,0.0014,6149
3947,[H]ON=C(C(=O)N([H])C([H])([H])[H])C([H])([H])[H],0.20741182,0.23433019,0.07933176,0.27355299,0.16982662,0.19486363,0.00053181,0.04846507,0.16982662,0.19486363,0.00053181,0.04846507,0.17928526,0.20692443,0.0002,0.0653,3947
11698,[H]OC1(C([H])([H])[H])C([H])([H])C([H])([H])N2C([H])([H])C21[H],0.2522847,0.26709718,0.00829357,0.01148817,0.25698797,0.2794539,0.0071738,0.00521057,0.25698797,0.2794539,0.0071738,0.00521057,0.26323174,0.26972902,0.006,0.0072,11698
8810,[H]OC([H])(C([H])=O)C([H])([H])N([H])C([H])=O,0.16923454,0.21699274,0.00069577,0.00084847,0.16396924,0.190808,0.00190558,0.0158153,0.16396924,0.190808,0.00190558,0.0158153,0.1647215,0.21169816,0.0005,0.0012,8810
21300,n1nc2onnc2o1,0.16980609,0.22441787,0.11825775,0.0,0.17245902,0.17921355,0.11070869,0.01186018,0.17245902,0.17921355,0.11070869,0.01186018,0.16793707,0.18745096,0.1204,0.0123,21300
20990,[H]c1nn([H])c2nnnn12,0.20653954,0.22044264,0.10566256,0.00904641,0.20107626,0.21045477,0.01005928,0.08452604,0.20107626,0.21045477,0.01005928,0.08452604,0.21341803,0.21452419,0.0117,0.1071,20990
20437,[H]c1c(C([H])([H])[H])nn([H])c1C([H])([H])C([H])([H])[H],0.23571042,0.25246118,0.03148106,0.11546486,0.24486361,0.25123406,0.02948012,0.18742853,0.24486361,0.25123406,0.02948012,0.18742853,0.24315191,0.24467701,0.1118,0.0831,20437
4400,[H]Oc1c([H])c(N([H])[H])c(O[H])n1[H],0.17943612,0.19569553,0.00766311,0.00078054,0.18682676,0.19757857,0.02097203,0.00104667,0.18682676,0.19757857,0.02097203,0.00104667,0.17280268,0.1894391,0.0094,0.0006,4400
9041,[H]OC([H])([H])C([H])([H])C([H])([H])C(=O)C([H])=O,0.10757187,0.16225396,4.892e-05,5.5e-05,0.09818606,0.15482081,4.15e-06,4.199e-05,0.09818606,0.15482081,4.15e-06,4.199e-05,0.10259677,0.15690859,0.0,0.0001,9041
3941,[H]C#CC([H])(C(=NO[H])C([H])([H])[H])C([H])([H])[H],0.23441525,0.2569054,0.00413848,0.2315583,0.22467675,0.24005756,0.00535418,0.00568109,0.22467675,0.24005756,0.00535418,0.00568109,0.22978618,0.23996207,0.0039,0.0012,3941
14032,[H]C1([H])OC23C([H])([H])C([H])(C([H])([H])C12[H])C3([H])[H],0.25864783,0.26862466,0.00207161,0.00915623,0.27857859,0.28607273,0.00098928,0.00607168,0.27857859,0.28607273,0.00098928,0.00607168,0.27016267,0.28425971,0.0014,0.0055,14032
15776,[H]C1([H])OC2([H])C([H])([H])C2(C#N)C1([H])[H],0.26387949,0.26979768,0.00578066,0.00341562,0.24686518,0.2619563,0.00222252,0.0653276,0.24686518,0.2619563,0.00222252,0.0653276,0.25178433,0.26786583,0.0014,0.0506,15776
17983,[H]N1C(=O)C2([H])C([H])([H])OC2([H])C1([H])[H],0.21128405,0.25913207,0.00039855,0.08186041,0.20804791,0.25695188,0.00087264,0.00693946,0.20804791,0.25695188,0.00087264,0.00693946,0.20893461,0.26622681,0.0004,0.0798,17983
9194,[H]N1C([H])([H])C([H])(C([H])([H])[H])C1(C#N)C([H])([H])[H],0.24392003,0.26389655,0.00771349,0.03141406,0.23817897,0.2526407,0.01939225,0.00628047,0.23817897,0.2526407,0.01939225,0.00628047,0.24338343,0.26556532,0.0117,0.0131,9194
6128,[H]C(=O)N(C([H])([H])[H])C([H])([H])C(=O)N([H])[H],0.21410086,0.21568971,0.00152137,0.00145308,0.20872853,0.21321049,0.00136308,0.00140017,0.20872853,0.21321049,0.00136308,0.00140017,0.2097431,0.21118735,0.0013,0.0011,6128
13924,[H]C1=C([H])C2([H])OC([H])(C([H])([H])C1([H])[H])C2([H])[H],0.21903887,0.24850699,0.00592484,0.16830147,0.21568117,0.24279968,0.00310668,0.17930561,0.21568117,0.24279968,0.00310668,0.17930561,0.22833458,0.23787103,0.012,0.1717,13924
3525,[H]C1([H])C2([H])C([H])([H])C2([H])C2([H])C([H])([H])C12[H],0.27069936,0.28831941,0.00075602,0.01802825,0.2729423,0.2982012,0.00034908,0.02759011,0.2729423,0.2982012,0.00034908,0.02759011,0.26961878,0.29109141,0.0005,0.0212,3525
7826,[H]C([H])([H])C1([H])OC2(C([H])([H])[H])C([H])(C([H])([H])[H])C12[H],0.24655663,0.26320098,0.00100061,0.02143228,0.26127557,0.278908,0.00141392,0.02855682,0.26127557,0.278908,0.00141392,0.02855682,0.2562163,0.27484453,0.0005,0.0263,7826
21736,[H]OC([H])(C([H])=O)C(F)(F)F,0.17082261,0.25273838,7.664e-05,0.02807548,0.16589817,0.21203153,5.418e-05,0.01942593,0.16589817,0.21203153,5.418e-05,0.01942593,0.16561083,0.23776446,0.0001,0.0238,21736
563,[H]N1C([H])([H])C1([H])C([H])([H])C#N,0.26202976,0.29289281,0.00744086,0.02465507,0.25286872,0.27341359,0.00329515,0.00170244,0.25286872,0.27341359,0.00329515,0.00170244,0.25925547,0.2805958,0.006,0.0008,563
17211,[H]C([H])([H])C12N(C([H])([H])C13OC3([H])[H])C2([H])[H],0.26271205,0.26720377,0.01684651,0.00273752,0.27475656,0.28147462,0.05260449,0.01107429,0.27475656,0.28147462,0.05260449,0.01107429,0.27035376,0.27631818,0.0147,0.0077,17211
6896,[H]N=C(N([H])C([H])=O)C([H])([H])OC([H])([H])[H],0.18719269,0.22840488,0.00382631,0.00529332,0.17794857,0.21720744,0.00375945,0.00194757,0.17794857,0.21720744,0.00375945,0.00194757,0.18250082,0.22104719,0.0035,0.0024,6896
4596,[H]c1oc(C#N)nc1C([H])([H])[H],0.20352656,0.22196068,0.26929904,0.0023092,0.19830597,0.20746604,0.28145217,0.00230722,0.19830597,0.20746604,0.28145217,0.00230722,0.19678896,0.2151085,0.2928,0.0022,4596
6672,[H]C([H])([H])C([H])([H])N1C([H])(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H],0.23152718,0.26065402,0.02319231,0.01958139,0.24197025,0.26836608,0.01865216,0.01722808,0.24197025,0.26836608,0.01865216,0.01722808,0.24254922,0.26932478,0.0229,0.0136,6672
14503,[H]C#CC1([H])C([H])([H])C([H])([H])C1([H])OC([H])([H])[H],0.26147039,0.26546168,0.00593008,0.00700791,0.24193381,0.25126885,0.00013931,0.00317293,0.24193381,0.25126885,0.00013931,0.00317293,0.23663258,0.24510698,0.0001,0.0022,14503
8323,[H]C#CC(C#C[H])(C#C[H])N([H])[H],0.25143851,0.25886261,0.04433855,9.177e-05,0.22471544,0.22938522,0.0241838,9.673e-05,0.22471544,0.22938522,0.0241838,9.673e-05,0.22972003,0.23399398,0.0001,0.0139,8323
13150,[H]N=C1OC([H])([H])C1([H])C(=O)C([H])([H])[H],0.17061153,0.25038086,0.00088011,0.02468154,0.1659279,0.2258944,0.00102578,0.00523783,0.1659279,0.2258944,0.00102578,0.00523783,0.16700731,0.24328053,0.0005,0.0169,13150
34,[H]C(=O)C([H])([H])C([H])([H])[H],0.16275309,0.28400357,6.317e-05,0.03116543,0.15715378,0.29534952,4.526e-05,0.01245328,0.15715378,0.29534952,4.526e-05,0.01245328,0.15723934,0.29160222,0.0001,0.0078,34
9994,[H]C#CC([H])(C(=O)N([H])[H])C([H])([H])O[H],0.21662566,0.26545459,0.00033576,0.00173985,0.21450989,0.24099294,0.00120584,0.00224,0.21450989,0.24099294,0.00120584,0.00224,0.21452786,0.23976362,0.0004,0.0005,9994
9237,[H]N=C1OC([H])([H])C1(N([H])C([H])([H])[H])C([H])([H])[H],0.23120067,0.2471947,0.00495888,0.01537415,0.22037483,0.24509306,0.00497671,0.00692196,0.22037483,0.24509306,0.00497671,0.00692196,0.22938194,0.24097268,0.003,0.0112,9237
247,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C#N,0.23201981,0.26794545,0.03158897,0.04945176,0.22104379,0.24809809,0.00645226,0.01136423,0.22104379,0.24809809,0.00645226,0.01136423,0.23113856,0.26169562,0.0143,0.0479,247
2533,[H]C#CC1(C([H])([H])O[H])C([H])([H])C1([H])[H],0.25517955,0.27225399,0.00209382,0.02707816,0.23497166,0.25123707,0.00145983,0.0162169,0.23497166,0.25123707,0.00145983,0.0162169,0.22939296,0.24514005,0.0011,0.0158,2533
2195,[H]C([H])([H])C12C(=O)OC1([H])C2([H])[H],0.22292551,0.24399214,0.00095521,0.00524754,0.21534825,0.24070928,0.00135942,0.0007749,0.21534825,0.24070928,0.00135942,0.0007749,0.21649395,0.2453385,0.0009,0.0006,2195
21074,[H]c1nnn(C(=O)N([H])[H])c1[H],0.19894064,0.21973239,0.00436506,0.08727527,0.18593015,0.2152727,0.0043246,0.00201832,0.18593015,0.2152727,0.0043246,0.00201832,0.19494782,0.21873198,0.0051,0.0712,21074
15176,[H]C([H])([H])C1=C(C#N)C([H])([H])C([H])([H])C1([H])[H],0.23535544,0.26642011,0.40483932,0.0069794,0.21557937,0.23653205,0.33394601,0.00700311,0.21557937,0.23653205,0.33394601,0.00700311,0.21517098,0.24138794,0.3458,0.0053,15176
15698,[H]N([H])C1([H])C2(C#N)N([H])C([H])([H])C12[H],0.2112066,0.23064966,0.00804351,0.05037422,0.1943141,0.22194526,0.00493059,0.04833748,0.1943141,0.22194526,0.00493059,0.04833748,0.20476357,0.22927537,0.0072,0.051,15698
1457,[H]C#CC(=O)OC([H])([H])C([H])([H])[H],0.19539266,0.24227542,0.00011343,0.0001534,0.18134006,0.21441041,0.00018481,0.00027187,0.18134006,0.21441041,0.00018481,0.00027187,0.18473518,0.21527387,0.0,0.0002,1457
7658,[H]N=C1N([H])C(=O)C([H])([H])N1C([H])([H])[H],0.20967048,0.21982056,0.00137447,0.11218452,0.2031105,0.20548566,0.0037016,0.07505193,0.2031105,0.20548566,0.0037016,0.07505193,0.20619311,0.22136691,0.001,0.0988,7658
6687,[H]N1C([H])(C([H])([H])C#N)C1(C([H])([H])[H])C([H])([H])[H],0.26214815,0.29306949,0.01061466,0.00430716,0.26700216,0.27466336,0.02676151,0.00415614,0.26700216,0.27466336,0.02676151,0.00415614,0.2644702,0.28104782,0.0093,0.0006,6687
2676,[H]N1C([H])([H])C(=O)C1([H])C#N,0.16873469,0.20865877,0.00015622,0.00063948,0.16209361,0.18589891,0.00030162,0.00124304,0.16209361,0.18589891,0.00030162,0.00124304,0.16264884,0.20524866,0.0002,0.001,2676
9536,[H]N(C(=O)C1(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H],0.21956708,0.25790896,0.00024395,4.87e-06,0.21803652,0.2705313,0.00055075,0.00077838,0.21803652,0.2705313,0.00055075,0.00077838,0.21870994,0.25785899,0.0003,0.0,9536
14123,[H]OC12C([H])([H])C3([H])C([H])([H])C1([H])C2([H])C3([H])[H],0.25287705,0.27511633,0.00325171,0.00181116,0.26980236,0.28295219,0.00156189,0.0006475,0.26980236,0.28295219,0.00156189,0.0006475,0.25285741,0.27981304,0.0021,0.0249,14123
4977,[H]C#CC([H])([H])c1nc([H])c([H])n1[H],0.24477212,0.25279001,0.15200117,0.00176429,0.23525047,0.2400951,0.00063856,0.0876352,0.23525047,0.2400951,0.00063856,0.0876352,0.24032589,0.24050229,0.216,0.0004,4977
718,[H]c1nn([H])c([H])c1C([H])([H])[H],0.234982,0.26971966,0.04393985,0.05069769,0.24574993,0.25395687,0.05685927,0.00707472,0.24574993,0.25395687,0.05685927,0.00707472,0.23928956,0.25526081,0.073,0.006,718
4441,[H]c1c(N([H])[H])oc(=O)n1C([H])([H])[H],0.20272361,0.22208921,0.00825158,0.09127962,0.21175667,0.22976827,0.0461695,0.15097753,0.21175667,0.22976827,0.0461695,0.15097753,0.19801272,0.21910683,0.0105,0.1029,4441
8292,[H]C([H])([H])C1([H])C([H])([H])C2([H])C([H])([H])C([H])(C1([H])[H])C2([H])[H],0.29802719,0.30709083,0.00178315,0.03234917,0.30441135,0.31165843,0.0007156,0.02661271,0.30441135,0.31165843,0.0007156,0.02661271,0.29800395,0.3052399,0.001,0.026,8292
11547,[H]OC([H])([H])C1([H])OC2(C([H])([H])C2([H])[H])C1([H])[H],0.25376656,0.26669957,0.00434402,0.01335089,0.25844978,0.28353343,0.00192671,0.01255577,0.25844978,0.28353343,0.00192671,0.01255577,0.25939879,0.27702376,0.0028,0.0158,11547
6685,[H]C([H])(C#N)N1C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],0.25105419,0.27782652,0.00535289,0.02161313,0.23992817,0.25899836,0.00016037,0.01306984,0.23992817,0.25899836,0.00016037,0.01306984,0.25250829,0.27300339,0.0006,0.0189,6685
1201,[H]OC([H])(C#CC#N)C([H])([H])[H],0.21661196,0.22785202,5.586e-05,0.00242673,0.18541825,0.19694963,9.475e-05,0.00161018,0.18541825,0.19694963,9.475e-05,0.00161018,0.18412882,0.19517934,0.0001,0.001,1201
1489,[H]N(C(=O)C([H])([H])OC([H])([H])[H])C([H])([H])[H],0.21402634,0.25389955,0.00188249,0.00080803,0.21053738,0.25569323,0.0020455,0.01343323,0.21053738,0.25569323,0.0020455,0.01343323,0.21126452,0.25319918,0.0013,0.001,1489
20849,[H]Oc1nnoc1OC([H])([H])[H],0.18178662,0.21693835,0.15097038,0.00219534,0.18619677,0.2176764,0.14096769,0.01029547,0.18619677,0.2176764,0.14096769,0.01029547,0.18351511,0.2153584,0.1434,0.0045,20849
21260,[H]C(=Nc1nc([H])no1)N([H])[H],0.1958839,0.20118554,0.60127637,0.00236021,0.19047472,0.19672364,0.00136738,0.49828764,0.19047472,0.19672364,0.00136738,0.49828764,0.19593638,0.19792084,0.4856,0.0012,21260
2290,[H]C([H])([H])OC([H])([H])C1([H])OC1([H])C([H])([H])[H],0.27590113,0.29206236,0.04678841,0.05245483,0.28796662,0.30204624,0.06121298,0.01307725,0.28796662,0.30204624,0.06121298,0.01307725,0.2807575,0.30449021,0.0467,0.0324,2290
1227,[H]N([H])C(=O)C#CC([H])([H])C([H])([H])[H],0.19101072,0.24124466,9.82e-05,0.00081868,0.18028166,0.21490589,0.00033933,7.636e-05,0.18028166,0.21490589,0.00033933,7.636e-05,0.185246,0.21480348,0.0001,0.0001,1227
8416,[H]OC([H])([H])C(C([H])=O)(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.15918146,0.26364144,0.00012638,0.00220453,0.1543556,0.2347189,0.0001238,0.00132133,0.1543556,0.2347189,0.0001238,0.00132133,0.15474038,0.25710196,0.0001,0.0014,8416
18008,[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C12[H],0.29934583,0.3020629,0.00672698,0.00750115,0.30546573,0.30686814,0.00454379,0.00845163,0.30546573,0.30686814,0.00454379,0.00845163,0.29976057,0.30159069,0.0044,0.0079,18008
7626,[H]N=C1OC([H])(C([H])([H])[H])C([H])=C1C([H])([H])[H],0.21774196,0.22040608,0.00193367,0.24749282,0.2034125,0.21405559,0.00193751,0.24087354,0.2034125,0.21405559,0.00193751,0.24087354,0.21662257,0.22026811,0.0045,0.3562,7626
3707,[H]n1nnn(C([H])([H])[H])c1=O,0.21482701,0.21617099,0.07982402,0.00853786,0.2078294,0.21601688,0.00883469,0.08739301,0.2078294,0.21601688,0.00883469,0.08739301,0.21655642,0.21931997,0.0108,0.0987,3707
21134,[H]OC([H])([H])c1nn([H])c(N([H])[H])c1[H],0.21688781,0.23373975,0.01578264,0.08120721,0.22503409,0.23512936,0.05474578,0.04041595,0.22503409,0.23512936,0.05474578,0.04041595,0.21212078,0.23239171,0.0158,0.1169,21134
12774,[H]C(=O)C([H])([H])C1([H])OC([H])([H])C1([H])C([H])([H])[H],0.15964307,0.24633996,0.00046413,0.00927592,0.15394473,0.21217793,0.00047567,0.00984666,0.15394473,0.21217793,0.00047567,0.00984666,0.15463014,0.23897351,0.0003,0.012,12774
11832,[H]C1([H])OC12C([H])([H])C1(C([H])([H])C1([H])[H])C2([H])[H],0.3021409,0.31073925,0.03102666,0.00034869,0.28130728,0.30789911,9.813e-05,0.00669405,0.28130728,0.30789911,9.813e-05,0.00669405,0.28644629,0.30026036,0.0003,0.0243,11832
10074,[H]C(=O)C1(C#N)C([H])([H])C([H])([H])C1([H])[H],0.16391405,0.27681483,0.00040193,0.00199784,0.15883979,0.24273342,0.00043866,0.0162107,0.15883979,0.24273342,0.00043866,0.0162107,0.15899596,0.25598478,0.0003,0.0176,10074
2189,[H]OC12C([H])([H])C([H])([H])C([H])([H])C1([H])C2([H])[H],0.26520382,0.2825259,0.0079917,0.03751082,0.28110412,0.29495229,0.00206693,0.03474692,0.28110412,0.29495229,0.00206693,0.03474692,0.2643526,0.2816652,0.0038,0.0344,2189
10845,[H]C#CC1=NC([H])([H])C(=O)O1,0.19490303,0.22302298,0.00344198,0.00052195,0.180619,0.20175834,0.00351764,2.729e-05,0.180619,0.20175834,0.00351764,2.729e-05,0.19224307,0.20308045,0.0031,0.0,10845
208,[H]c1c([H])c([H])c([H])c([H])c1[H],0.19458566,0.24157901,0.0,7e-08,0.20572919,0.2334684,2e-08,1.32e-06,0.20572919,0.2334684,2e-08,1.32e-06,0.20227196,0.22756652,0.0,0.0,208
2595,[H]C([H])([H])C#CC#CC([H])([H])C([H])([H])[H],0.2022271,0.21053612,1.377e-05,0.0024171,0.17339524,0.1812182,3.19e-05,0.00211122,0.17339524,0.1812182,3.19e-05,0.00211122,0.17349357,0.18028852,0.0,0.0015,2595
12385,[H]OC1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])[H],0.26134057,0.30182446,0.00448973,0.02526668,0.27474618,0.30353425,0.00292887,0.01618278,0.27474618,0.30353425,0.00292887,0.01618278,0.26279075,0.303509,0.003,0.0233,12385
9363,[H]OC1(C#N)C([H])([H])C1([H])OC([H])([H])[H],0.24682773,0.27752074,0.00840933,0.003419,0.23018502,0.26374186,0.00372541,0.10388079,0.23018502,0.26374186,0.00372541,0.10388079,0.23496049,0.26957468,0.0031,0.0919,9363
15239,[H]C([H])([H])C1([H])C([H])([H])OC([H])([H])C1([H])C#N,0.27417141,0.29520179,0.00306814,0.03470914,0.273113,0.27828583,0.00398687,0.01125909,0.273113,0.27828583,0.00398687,0.01125909,0.27638433,0.28209517,0.0006,0.0013,15239
16612,[H]OC1([H])C([H])([H])C2([H])C([H])=C([H])C1([H])C2([H])[H],0.23739066,0.26677194,0.04919031,0.02236219,0.22193083,0.25757023,0.02714469,0.08494245,0.22193083,0.25757023,0.02714469,0.08494245,0.23200584,0.26180587,0.0814,0.0324,16612
7801,[H]C([H])([H])C12OC([H])([H])C([H])([H])C([H])(C1([H])[H])C2([H])[H],0.25295447,0.27746288,0.00782479,0.00920142,0.26765718,0.28728502,0.00391681,0.00552637,0.26765718,0.28728502,0.00391681,0.00552637,0.26648406,0.28832418,0.0048,0.0064,7801
6210,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])[H],0.26349297,0.26809849,0.02651382,0.00180532,0.27425036,0.28081249,0.01178801,0.00032769,0.27425036,0.28081249,0.01178801,0.00032769,0.26513536,0.26964083,0.0188,0.0007,6210
14619,[H]N1C([H])([H])C(=NC([H])([H])[H])OC([H])([H])C1([H])[H],0.21299796,0.23120952,0.00225809,0.01450344,0.20171671,0.22410935,0.00341389,0.00383175,0.20171671,0.22410935,0.00341389,0.00383175,0.20897871,0.22916879,0.0022,0.0074,14619
16417,[H]OC([H])([H])C1=C([H])C2([H])OC2([H])C1([H])[H],0.22411054,0.24423433,0.02504486,0.16167281,0.22000738,0.23241706,0.01895992,0.16713481,0.22000738,0.23241706,0.01895992,0.16713481,0.22923862,0.23712135,0.1738,0.0214,16417
9254,[H]OC([H])([H])C1(C([H])([H])[H])C([H])([H])OC1([H])C([H])([H])[H],0.26565506,0.26737227,0.01127973,0.00633889,0.27291815,0.27970145,0.01289169,0.00239776,0.27291815,0.27970145,0.01289169,0.00239776,0.26467599,0.27540679,0.0001,0.0098,9254
15992,[H]C([H])([H])C([H])([H])C12C([H])([H])C1([H])C([H])([H])C2([H])C([H])([H])[H],0.27005703,0.28733335,0.0198399,0.03344719,0.2781546,0.29918986,0.02174181,0.04043217,0.2781546,0.29918986,0.02174181,0.04043217,0.27175391,0.28924659,0.0149,0.0366,15992
2004,[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1=O,0.14076836,0.23541187,0.00016933,0.32832436,0.13303454,0.22152203,7.077e-05,0.25818991,0.13303454,0.22152203,7.077e-05,0.25818991,0.14153635,0.22209822,0.0002,0.3061,2004
9144,[H]C#CC1(C([H])([H])[H])C(=O)C([H])([H])C1([H])[H],0.16061719,0.24983151,0.00170654,0.00203416,0.15392609,0.21329994,0.00232764,0.00267671,0.15392609,0.21329994,0.00232764,0.00267671,0.15576937,0.22646772,0.0017,0.0019,9144
12140,[H]C1=C([H])C([H])([H])C(=O)C([H])([H])OC1([H])[H],0.16469445,0.23621206,0.00082018,0.05888153,0.1591818,0.21918009,0.00127254,0.00189393,0.1591818,0.21918009,0.00127254,0.00189393,0.16163456,0.23981875,0.0008,0.0761,12140
210,[H]c1nc([H])c([H])nc1[H],0.1912193,0.25687755,0.07893291,0.10837408,0.14682754,0.17110961,0.00541214,0.0,0.14682754,0.17110961,0.00541214,0.0,0.15334758,0.18305206,0.0051,0.0,210
5557,[H]c1c(C([H])([H])[H])c2n(c1[H])C([H])([H])C2([H])[H],0.23130752,0.23968408,0.0003377,0.00322585,0.2337392,0.24152603,0.02240373,0.00189047,0.2337392,0.24152603,0.02240373,0.00189047,0.22882702,0.2289336,0.001,0.0748,5557
17361,[H]C([H])([H])C1([H])N2C3([H])C(=O)C2([H])C31[H],0.17930199,0.20387446,4.61e-06,0.00984402,0.17487054,0.19958469,1.358e-05,0.00652434,0.17487054,0.19958469,1.358e-05,0.00652434,0.17506276,0.21119837,0.0,0.0096,17361
16813,[H]N1C2([H])C3([H])OC2([H])C13C#N,0.22393447,0.2263924,0.00494824,0.0096208,0.21515054,0.2250823,0.00278549,0.00705232,0.21515054,0.2250823,0.00278549,0.00705232,0.22559308,0.23727202,0.0059,0.0043,16813
3635,[H]N([H])c1nc(C([H])([H])[H])nn1[H],0.22739526,0.25397512,0.01003023,0.12544587,0.23669062,0.24820607,0.02852745,0.00617039,0.23669062,0.24820607,0.02852745,0.00617039,0.22351307,0.24881498,0.009,0.1337,3635
19007,[H]N1C2([H])C3([H])OC3([H])C12C([H])([H])C([H])([H])[H],0.22917588,0.23521768,0.00804624,0.01483026,0.23329506,0.24024291,0.01282995,0.01352263,0.23329506,0.24024291,0.01282995,0.01352263,0.23113856,0.2370846,0.0065,0.0144,19007
1635,[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])(O[H])C([H])([H])[H],0.26491807,0.26835562,0.00646259,0.00606739,0.27272139,0.27824637,0.00275597,0.00325511,0.27272139,0.27824637,0.00275597,0.00325511,0.26440772,0.26702795,0.0038,0.0039,1635
20834,[H]n1nnc(C([H])([H])[H])c1OC([H])([H])[H],0.22299619,0.2278689,0.08648226,0.05455145,0.2138737,0.23113007,0.01297318,0.14231445,0.2138737,0.23113007,0.01297318,0.14231445,0.21613381,0.22596793,0.0164,0.1475,20834
16333,[H]C1=C(C([H])([H])[H])C2([H])C(=O)C1([H])N2[H],0.19911653,0.2116359,0.00064375,0.02257388,0.19328586,0.20384332,0.00085573,0.02053781,0.19328586,0.20384332,0.00085573,0.02053781,0.19123614,0.21213916,0.0008,0.0432,16333
