"ESOL predicted log solubility in mols per litre","Minimum Degree","Molecular Weight","Number of H-Bond Donors","Number of Rings","Number of Rotatable Bonds","Polar Surface Area","measured log solubility in mols per litre","Structure of smiles [idcode]","smiles","Nr"
"-1.376","1","218.25299999999996","2","0","6","104.63999999999999","-1.807","do]B@L\Dftf]i]Yjjji`@","CCCC(C)(COC(N)=O)COC(N)=O ","172"
"-4.342","1","316.48500000000007","1","4","1","37.3","-4.65","fnk@`@@MrJJZQIFYJSKYdmF|DmVjjjjjjjf@@","CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ","173"
"-1.646","1","141.939","0","0","0","0.0","-1.0","eFBBlc@@","CI","174"
"-1.5319999999999998","1","281.35200000000003","2","2","3","83.47","-1.13","fbu`P@D`EGNQQQQQUJYJIb`iZjjjjfZ@@","CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ","175"
"-4.496","1","394.471","1","3","9","75.71","-6.301","fkPP@DXApP\bbbRTrbbbRVVqRHsOZcZjZh@X@`jh@@@","O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3","176"
"-2.015","1","138.20999999999998","0","1","0","17.07","-1.06","deTH@@RYVZfZZj`@","CC1=CC(=O)CC(C)(C)C1 ","177"
"-1.9580000000000002","1","212.24899999999997","2","1","3","75.27000000000001","-2.39","do}L@DpFEIeY{ekfjYjjhf`@","O=C1NC(=O)NC(=O)C1(CC)C(C)CC","178"
"-2.329","1","142.242","0","0","6","17.07","-2.58","dedH@@RYUUjjh@@","CCCCC(=O)CCCC","179"
"-2.591","1","217.268","1","2","2","46.17","-2.3369999999999997","f`q``@D@EdTRdTTqVYIwfji``Hab`@","CCC1(CCC(=O)NC1=O)c2ccccc2 ","180"
"-2.6","1","86.178","0","0","2","0.0","-3.68","gGP@DjVj`@","CCC(C)CC","181"
"-6.896","1","376.49600000000004","0","3","9","27.69","-8.6","fcoA`@@NgdbbbRRfNRdTJVREiUnch@@BJj`@j@@@","CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3","182"
"-3.8810000000000002","1","250.30100000000002","0","3","1","34.89","-2.925","fluQ@@DJAdTTTTTRTQsEVbEKU@C@PD@@@","Cc1ccccc1n3c(C)nc2ccccc2c3=O","183"
"-0.44799999999999995","1","75.498","0","0","0","23.79","-0.092","gChHLHaIZp@","ClCC#N","184"
"-5.225","1","333.60400000000004","0","1","5","18.46","-5.752000000000001","fhq@b`IFADDbAQBoCPPdsNnujsdDATuTPTP@","CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl","185"
"-3.858","1","312.45300000000003","1","4","0","37.3","-5.66","fnk@`@@ErJIJZIPiSQJVcEZ]zNVfjjjjjnj@@","CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ","186"
"-0.619","2","80.08999999999999","0","1","0","25.78","1.1","gFt@ADiTt@@@","c1ccnnc1","187"
"-4.621","1","215.894","0","1","0","0.0","-4.63","deT@H@bBbFbIbLbbbfOCADD@@","Clc1cc(Cl)c(Cl)c(Cl)c1","188"
"-5.681","1","414.63000000000017","1","6","0","38.69","-7.32","eglPL@@@NKldTTTRbVTqtrTtRu@debabQSWVquUUUUUUMUUUU@@@","C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21","189"
"-1.465","1","109.12799999999999","2","1","0","46.25","-0.72","daFH@BAIf]n``@@@","Nc1ccccc1O","190"
"-3.3160000000000003","1","186.295","0","0","8","26.3","-3.8","dkLD@@QIeWUVjjj`@","CCCCCCCCC(=O)OCC","191"
"-2.87","1","279.336","0","1","5","55.84","-1.601","fbe`P@J@QjNQQJZZJJJYWrVjjAbJHa``@","COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ","192"
"-2.4090000000000003","1","209.24499999999998","1","1","3","47.56","-2.05","do~L@LAARYVyWeMj``b`@@","CNC(=O)Oc1ccccc1OC(C)C","193"
"-1.94","1","92.569","0","0","1","0.0","-1.96","gJPHADILuTe@@","CCC(C)Cl","194"
"-3.08","1","144.17299999999997","1","2","0","20.23","-2.28","dmLH@@RYVuiiV@@@@@@","Oc1ccc2ccccc2c1","195"
"-5.265","1","345.22600000000017","0","2","3","57.26","-5.696000000000001","ff}Qa@CVHFHHbTQdTTRRTUbTQdXKtXHHjjVjb@@","CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C","196"
"-1.801","1","82.14599999999999","0","0","2","0.0","-2.36","gGP@DkWj`@","CCCCC#C","197"
"-2.864","1","124.22699999999999","0","0","5","0.0","-4.24","diD@@DkUWjj`@","CCCCCCCC#C","198"
"-3.2969999999999997","1","126.586","0","1","0","0.0","-3.52","daD@`@bDfYVz@`@@","Cc1ccccc1Cl","199"
"-1.281","1","102.17699999999999","0","0","2","9.23","-1.1","gNq@@eLuUP@","CC(C)OC(C)C","200"
"-2.464","1","248.307","2","2","2","86.18","-3.094","fhiPb@OA``@QddabbRRvRkF\m@@@E@@@","Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2","201"
"0.5429999999999999","1","46.073","2","0","0","38.05","1.34","eMPBch@","CNN","202"
"-0.672","1","40.065000000000005","0","0","0","0.0","-0.41","eM@H~@","CC#C","203"
"-4.5569999999999995","1","298.304","0","1","7","63.839999999999996","-4.862","flyQa@JVQ``@bGadTbRRRaTrTTmUSUX@@@@","CCOP(=S)(OCC)ON=C(C#N)c1ccccc1","204"
"-2.826","1","281.314","1","0","7","56.790000000000006","-3.408","fha`Q@BHpZp@bGadTbRTrLrcUTuMUBE@@","CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C","205"
"-0.184","1","56.064","0","0","1","17.07","0.57","gCa@@dkH@","C=CC=O","206"
"-0.6559999999999999","1","136.114","2","2","0","74.43","-2.296","deth@DkiAIeeVxYZiZd@@","O=c1[nH]cnc2nc[nH]c12 ","207"
"-2.725","1","145.161","1","2","0","33.120000000000005","-2.16","dmNH@AAIe[VfeX@@@@@","Oc2ccc1ncccc1c2 ","208"
"-2.5140000000000002","1","96.10399999999998","0","1","0","0.0","-1.8","gOpHAHILkW@@@@","Fc1ccccc1","209"
"-1.585","1","78.542","0","0","1","0.0","-1.47","gC`HADIKT@@","CCCCl","210"
"-0.77","1","88.106","0","0","1","26.3","-0.04","gGP`@df]j`@","CCOC(=O)C","211"
"-2.938","1","100.20499999999998","0","0","1","0.0","-4.36","gNp@LddUjj@@","CCCC(C)(C)C","212"
"-3.9930000000000003","1","148.249","0","1","0","0.0","-4.0","dmt@@DjYnvDHbJ@@","Cc1cc(C)c(C)c(C)c1C","213"
"-2.5789999999999997","1","154.253","0","3","0","9.23","-1.64","dmLH@@RffeZVVjjjh@@","CC12CCC(CC1)C(C)(C)O2 ","214"
"-4.726","1","314.46600000000007","0","0","15","52.60000000000001","-3.8960000000000004","ffu@P@@HCEIeUUuVuVjjjjfj`@@","CCCCOC(=O)CCCCCCCCC(=O)OCCCC","215"
"-5.2989999999999995","1","223.102","0","2","1","0.0","-6.56","dg|@P@bKbDfUvUz[S`@`@`@@","Clc1ccc(cc1)c2ccc(Cl)cc2 ","216"
"-2.0669999999999997","1","107.156","0","1","0","12.89","0.38","daF@@@RfVi`HH@@","Cc1cccnc1C","217"
"-2.042","1","150.22099999999998","0","1","1","17.07","-2.06","dmtH@@RYe~[ffjZaj@@","CC(=C)C1CC=C(C)C(=O)C1","218"
"-5.827999999999999","1","342.875","0","1","8","18.46","-5.736000000000001","fdi@b`CVAD\BIABoCPPdrnjujtY@AUMUP@@","CCOP(=S)(OCC)SCSc1ccc(Cl)cc1","219"
"-3.292","1","588.5620000000001","3","7","5","160.83","-3.571","eePpK@@@DGJfaimghZV^\bbTtRbbRRRRbTRRRT|rVqCDb`QRWVqrNOHkUUPA@DTUUUUUUTEP@@","COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67","220"
"-6.007000000000001","2","252.31599999999997","0","5","0","0.0","-8.804","fbc@@@LdbbbbbRJvcEBMIpTqrAD@@@@@@@@","c1cc2cccc3c4cccc5cccc(c(c1)c23)c54","221"
"-2.6039999999999996","1","182.135","0","1","2","86.28","-2.82","dkmB@hTDtxeNVSyInY_aehBBX@@","Cc1ccc(cc1N(=O)=O)N(=O)=O","222"
"-4.434","1","207.07000000000002","0","2","0","0.0","-4.4","dmL@`@qDfUmZZU`@@@@@","c1c(Br)ccc2ccccc12 ","223"
"-1.8459999999999999","1","221.26","1","1","3","53.93","-2.34","f`ap`@LJlABSJvm{RtuPACT@@@","CNC(=O)Oc1cccc(N=CN(C)C)c1","224"
"-1.589","1","162.15200000000002","0","2","1","60.790000000000006","-1.139","dclh@LZUAJ[Vu[ev`@@@@@","COc2cnc1ncncc1n2","225"
"-3.397","1","266.30400000000003","1","4","1","58.120000000000005","-3.19","fb}I@@DRTXFQQJJJIJIZsbm^mENVh@HBHjB@@","Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ","226"
"-3.76","1","313.747","0","1","7","58.4","-3.658","fdiqc@DXipu`QBoCPQdTRbtQdrRIRZjjZjd@@","CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C","227"
"-1.714","1","68.11900000000001","0","0","1","0.0","-2.03","gJP@DjYd@","CC(=C)C=C","228"
"-2.399","1","154.253","1","0","4","20.23","-1.99","dmTH@@rJQHiRjZZbJ@@","CC(C)=CCCC(O)(C)C=C","229"
"-4.265","1","278.335","0","1","5","27.69","-4.57","f`aAc@DXH@HaxNBLbdRRaRfvcMUP@U@@@","COP(=S)(OC)Oc1ccc(SC)c(C)c1","230"
"-1.261","1","100.161","1","1","0","20.23","-0.44","gOq@@drm]UT@@","OC1CCCCC1","231"
"-1.013","1","182.17899999999997","2","1","2","75.27000000000001","-1.16","dkmL@DpFEIeY{zyjfZf@@","O=C1NC(=O)NC(=O)C1(C)CC=C","232"
"-3.8819999999999997","1","290.447","1","4","0","37.3","-4.16","fjc@`@@ErJJQIFYJSKXgIJlyNVjjjjjjj`@@","CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O","233"
"0.647","1","182.172","6","0","5","121.38000000000001","0.06","dctF@@IaWTfYn~jjj`@","OCC(O)C(O)C(O)C(O)CO ","234"
"-4.4239999999999995","1","168.239","0","2","1","0.0","-4.62","dk\@@DjYU_yYv@@@H@@","Cc1ccc(cc1)c2ccccc2","235"
"-3.069","1","215.68800000000002","2","1","4","62.730000000000004","-3.85","dg^``DqnDHaIeYuff`@jj`@@","CCNc1nc(Cl)nc(NC(C)C)n1","236"
"-1.7009999999999998","1","152.22199999999998","2","1","1","38.05","-1.77","deU@`Dp@aIgeQej@@@@","NC(=S)Nc1ccccc1","237"
"-1.62","1","114.18799999999999","0","0","4","17.07","-1.3","daxH@@RYUZj`@","CCCC(=O)CCC","238"
"-1.25","1","100.16099999999999","0","0","0","17.07","-0.72","gNq@@dsSUP@","CC(=O)C(C)(C)C","239"
"-2.761","1","128.558","1","1","0","20.23","-0.7","daDH`NBHRYWih@H@@","Oc1ccc(Cl)cc1","240"
"-0.996","1","98.14500000000001","0","1","0","17.07","-0.6","gOq@@drm[UT@@","O=C1CCCCC1","241"
"-1.954","1","107.156","1","1","0","26.02","-0.85","daF@@@RYVih@H@@","Cc1cccc(N)c1","242"
"-2.019","1","144.388","0","0","0","23.79","-2.168","gGXLJHaQFbLbdMU`@","ClC(Cl)(Cl)C#N","243"
"-4.029","1","303.67100000000005","1","2","2","46.92","-4.046","fbuq@`JLDPDQFPSHYdLbbbfbLrTLgAN}RuU@AUH@@","CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl","244"
"-2.617","1","156.269","0","0","7","17.07","-3.3","dmTH@@RYuUZjj`@","CCCCCCCCC(=O)C","245"
"-3.497","1","243.74200000000002","1","1","5","53.940000000000005","-3.785","f`ahB@DXYpPHaIeYyUjL`@jjj@@@","CCN(CC)c1nc(Cl)nc(NC(C)C)n1","246"
"-2.383","1","165.19199999999998","1","1","2","52.32","-2.616","dcND@MADfVU~UZ``H@@","CCOC(=O)c1ccc(N)cc1","247"
"-4.083","1","181.449","0","1","0","0.0","-3.59","did@p@bBbAbDfYun``H@@","Clc1ccc(Cl)c(Cl)c1","248"
"-3.948","1","343.2170000000001","0","4","1","43.07","-4.09","fnkHA@NNcTDPVHRYeg[YUUYJs`ySVBAbB`XjHP@@","Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34","249"
"-1.635","1","110.11199999999998","2","1","0","40.46","0.62","daDD@@IIf]n``@@@","Oc1ccccc1O","250"
"-2.7939999999999996","1","254.29299999999998","0","3","1","49.330000000000005","-2.62","fluI@@DJuXFQQQQSQIIXbt[shmT@D@QP@@@","CCN2c1ncccc1N(C)C(=O)c3cccnc23 ","251"
"-0.758","1","62.137","0","0","0","0.0","-0.45","eMB@Hch@","CSC","252"
"-3.667","1","171.03699999999998","0","1","0","0.0","-2.23","daD@`@qDfYVz@`@@","Cc1ccccc1Br","253"
"-0.218","1","89.09400000000001","1","0","1","52.32","0.85","gGX`LDdsmT@@","CCOC(=O)N","254"
"-4.417","1","384.5160000000002","0","4","2","60.440000000000005","-5.35","fc@P@@UFoHhdihhmdiheBhiSbc^BdkSTuUUUULuT@@","CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ","255"
"-1.6469999999999998","1","116.20399999999998","1","0","2","20.23","-1.22","daxH@@RYfjj`@","CC(C)C(O)C(C)C","256"
"-3.468","2","128.17399999999995","0","2","0","0.0","-3.6","det@@DjYUX^d@@@@@","c1ccc2ccccc2c1","257"
"-2.3890000000000002","1","121.18299999999995","1","1","2","12.03","-1.7","dif@@@RfU~F``@@@","CCNc1ccccc1","258"
"-3.057","1","252.27300000000002","2","3","2","58.2","-4.0969999999999995","fluP`@DX@qIeVyeUrT]DJVjZ@@@H@@@","O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3","259"
"-6.297000000000001","1","256.348","0","4","0","0.0","-7.02","fb}@@@LdbbbbbTqvwEBlXJ\`@A@D@@@@@","Cc1c2ccccc2c(C)c3ccc4ccccc4c13","260"
"-5.026","1","393.85400000000016","0","2","8","55.84","-6.34","fnc`P`BRUjpHc@QSpDDIKKMLv~jf]UmUTtsTE@DDT@@","CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O","261"
"-5.537999999999999","1","345.6529999999999","0","2","4","18.46","-6.89","fjm@c@HiADHbLQFQRFJJIIKYIF|xMUP@@AU@@@","COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl","262"
"-5.462000000000001","1","381.1120000000001","2","2","2","58.2","-7.28","fasPa`EVMxDPRPYHBbLrEYCHhhiibieMEEMrS^pQDTtpQ@@@@","Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ","263"
"-3.81","1","366.41700000000003","1","3","7","75.71","-4.678","fmwPP@DXApP\bbbRTrbbbRVVqHsOZcZjZh@X@`j@@@","O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3","264"
"-2.6710000000000003","1","198.653","1","1","1","32.34","-2.89","dkmH`NVPbDfUunih@JZ`@@","CN(C)C(=O)Nc1ccc(Cl)cc1","265"
"-3.569","1","301.296","1","3","4","50.94","-3.37","ffcqA@KAJHDaVPrJJIJRqIJKILyyNRpDEPPTKAPhP@","OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F","266"
"-3.8760000000000003","1","478.51300000000026","2","4","4","127.20000000000002","-4.13","edZPAH@AJfaick`PICHiEHhhhblXdicEeDXiyiXyDdUUUUSMUSTuMMU@@@","CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ","267"
"-2.303","1","137.01999999999998","0","0","2","0.0","-2.37","gJPHAbIJuP@","CCCCBr","268"
"-6.001","1","393.69800000000004","0","1","0","0.0","-6.98","deT@H@qBqAqIqDfYu[hHB`@@","Brc1cc(Br)c(Br)cc1Br","269"
"-1.1840000000000002","1","100.16099999999999","0","0","2","17.07","-0.74","gNq@@dssUP@","CC(C)CC(=O)C","270"
"-3.35","1","215.36199999999994","0","1","3","20.310000000000002","-3.4","dg^H`Bp@aJY{e\{ijjjh@@","CCSC(=O)N(CC)C1CCCCC1 ","271"
"-3.057","1","142.585","0","1","1","9.23","-2.78","didH`NBHRYWZZ@B`@@","COc1ccc(Cl)cc1","272"
"-7.44","1","505.20600000000024","0","3","6","59.32000000000001","-8.402000000000001","fcoaa@OJtTFHcDrJYQQFYQJYJ[QITYfj}tuUMU`DP@P@@@","CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2","273"
"-2.06","1","224.26","2","1","4","75.27000000000001","-2.016","f`aQ`@DX@pRSJswKtxuSMUSPeP@","CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O","274"
"-3.845","1","277.238","0","1","5","70.83000000000001","-4.04","fhqaQBGHpSpPADOAta{HiDdhTimMFZj`@i`@@","COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1","275"
"-4.888999999999999","1","254.07000000000002","0","2","0","0.0","-4.55","dmL@`@kLbbbTQ[iV@@@@@@","Ic1cccc2ccccc12","276"
"0.647","1","182.172","6","0","5","121.38000000000001","1.09","dctF@@IaWTfYn~jjj`@","OCC(O)C(O)C(O)C(O)CO","277"
"-0.968","1","62.137","1","0","0","0.0","-0.6","eMB@HRZ@","CCS","278"
"-1.9609999999999999","1","133.405","0","0","1","0.0","-1.48","gJPLADJHLPdwU@@","ClCC(Cl)Cl","279"
"-3.141","1","245.282","0","2","2","47.36000000000001","-2.09","fdyp`@L\dAFQQJJFKQIZV`qZjfhHA@@@","CN(C)C(=O)Oc1cc(C)nn1c2ccccc2","280"
"-1.942","1","137.13799999999998","2","1","1","63.32000000000001","-1.82","deVD@DAdfygFV``@@@","NC(=O)c1ccccc1O","281"
"-2.589","1","137.138","0","1","1","43.14","-2.33","deVDAHAHeNR[fTYZ@`@@","Cc1ccccc1N(=O)=O","282"
"-1.942","1","212.249","2","1","2","75.27000000000001","-2.766","do}L@DpFEIeY{fkfjYjj`@","O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C","283"
"-3.2960000000000003","1","120.19499999999996","0","1","1","0.0","-3.21","did@@DjYUaBH`@@","CCc1ccccc1C","284"
"-3.003","1","134.65","0","0","5","0.0","-4.0","dax@`@bDeUZjh@@","CCCCCCCCl","285"
"-1.265","1","184.19499999999996","2","1","2","75.27000000000001","-2.4","dkmL@DpFEIeY{ZyjfZj@@","O=C1NC(=O)NC(=O)C1(CC)CC","286"
"-4.301","2","182.266","0","2","3","0.0","-4.62","dg|@@DjU_eZx{BBH@@@@","C(Cc1ccccc1)c2ccccc2","287"
"-2.549","1","167.85","0","0","1","0.0","-1.74","gGPBADJHLQXaInjh@","ClC(Cl)C(Cl)Cl","288"
"-4.228","1","283.331","1","3","2","54.46","-5.153","fj}p`@DRTCNQQJJJIJIZk\UkuhmP@PDQU@@@","CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ","289"
"-4.87","1","192.261","0","3","0","0.0","-5.84","foQ@@@LdbbbTRnyHQmV@@@@H@@@","Cc1ccc2c(ccc3ccccc32)c1","290"
"-4.378","1","278.348","0","1","8","52.60000000000001","-4.4","fbe@P@@HM[HheDhdhmbdisTEALUT@@@","CCCCOC(=O)c1ccccc1C(=O)OCCCC ","291"
"-4.2989999999999995","1","261.919","1","1","1","29.46","-4.02","dklDHEtH`hah`XaIf[o^fBHbh@@","COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ","292"
"-2.426","1","299.6909999999999","0","0","8","65.07000000000001","0.523","fdqaQ@JDeYw`QAoCHhhmDdcIeRuUTuP@@","CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl","293"
"-3.555","1","268.356","1","4","0","37.3","-5.282","fb}@`@@YrJJQIFYIIKDyKUgQRuUTuPAT@@@","CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O","294"
"-3.719","1","414.82700000000017","1","2","8","127.79","-4.5760000000000005","fmgHq@DLyHUg^[tDPXHrJIJKQIZRqQJHzcJc`@jjU``Xh@@@","CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2","295"
"-2.522","1","153.13699999999997","0","1","2","52.37","-2.41","dmvLAHAIbTyInUwaZ@B`@@","COc1ccc(cc1)N(=O)=O","296"
"-2.648","1","120.623","0","0","4","0.0","-3.12","gNpHADIJkUT@@","CCCCCCCl","297"
"-8.468","1","429.77200000000016","0","2","1","0.0","-9.16","fbu@@P@QAHadPJHmDAbDqFXcHhhiicEEhmrWhpQDPPQP@@@","Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl","298"
"0.496","1","504.43800000000005","11","3","8","268.67999999999995","-0.41","edRP@`@@LAEMCODbjaeco`XTifVUkuggv^}hdbrvnjjjjjjjjjjjj@@@","OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O","299"
"-9.702","1","366.7180000000002","0","0","23","0.0","-8.334","fes@@@DiUUUUUUUZjjjjjjjh@@","CCCCCCCCCCCCCCCCCCCCCCCCCC","300"
"-3.471","1","253.30499999999995","0","3","1","36.44","-3.324","fluq@@DJtCHhhhihddlQZMytVj@B@Hh@@@","CCN2c1ccccc1N(C)C(=O)c3cccnc23 ","301"
"-1.5759999999999998","1","98.96000000000001","0","0","0","0.0","-1.29","gC`DADJHRZh@","CC(Cl)Cl","302"
"-0.9540000000000001","1","172.20899999999997","2","1","1","86.18","-1.34","dmuD`LVD@HrRRqIXYV`@`@@","Nc1ccc(cc1)S(N)(=O)=O","303"
"-5.306","1","309.36600000000004","0","1","8","89.51999999999998","-6.49","ffmpPAHLtA@XpeGZfOIMsKLjwJHsPPUESUP@@","CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O","304"
"-4.0089999999999995","1","290.832","0","1","0","0.0","-4.64","dcL@X@bBbFbAbEbMbDfYnijjjj@@","ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl","305"
"-4.538","1","345.4010000000002","1","1","8","56.790000000000006","-4.194","ffm`Q@BHpFH@bGadTbRTRbblQt|ejjBjAbhaB`@","CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C","306"
"-4.008","1","181.44899999999998","0","1","0","0.0","-4.0","did@p@bBbFbDfYoa`b@@@","Clc1cccc(Cl)c1Cl","307"
"-2.6069999999999998","1","153.823","0","0","0","0.0","-2.31","gJPBADJHtPXaIjj@@","ClC(Cl)(Cl)Cl","308"
"-3.448","1","192.001","0","1","1","43.14","-3.2","dmvDQAePbBbAe^RYg^[hHBX@@","O=N(=O)c1cc(Cl)c(Cl)cc1","309"
"-2.14","1","128.215","1","1","0","20.23","-1.29","didH@@RYU^Fjjh@@","OC1CCCCCCC1","310"
"-4.073","1","302.4580000000001","1","4","0","37.3","-3.9989999999999997","ffs@`@@ErJIJZIPiSQJTXkSoQrtuUUUUUU@@@","CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C","311"
"-2.167","1","180.20699999999997","2","1","3","64.35","-2.17","dkmD@DpERYyWTYZ`@j@@","CCOc1ccc(NC(N)=O)cc1","312"
"-3.305","1","112.216","0","1","0","0.0","-4.47","daD@@DjWzZjj`@","C/C1CCC(\C)CC1","313"
"-2.9939999999999998","2","180.20999999999998","0","3","0","25.78","-2.68","fgAP@@@JrQQJJZHtdKQk@@@@@@@@","c1cnc2c(c1)ccc3ncccc23","314"
"-0.9840000000000001","1","88.14999999999999","0","0","0","9.23","-0.24","gGQ@@eMUT@@","COC(C)(C)C","315"
"-3.2539999999999996","1","148.20499999999998","0","1","2","9.23","-3.13","dmtH@@Rfuu[j@BX@@","COc1ccc(C=CC)cc1","316"
"-4.94","1","242.44699999999992","1","0","14","20.23","-7.0","fhaA@@@IJjjjjuUUUUP@@","CCCCCCCCCCCCCCCCO","317"
"-0.441","1","112.088","2","1","0","65.72","-1.4880000000000002","daED@DpFRYVkfjY@@","O=c1cc[nH]c(=O)[nH]1 ","318"
"-1.255","1","135.13","2","2","0","80.47999999999999","-2.12","dev`@@rfeJY{ZxYBBJD@@","Nc1ncnc2nc[nH]c12 ","319"
"-6.709","1","326.437","0","2","1","0.0","-7.21","fhi@B`@QAHcTQzHCDYEEELhXlepUgPQ@DAP@@@","Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ","320"
"-2.181","1","256.30499999999995","1","3","4","55.24","-2.596","fluP`@@qAKIELeeIhhdV\]zJZ@BjB`BHBh@@","COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ","321"
"-6.007000000000001","2","252.31599999999997","0","5","0","0.0","-8.23","fbc@@@LdbbbTVraVSIBMkugIr@@@AP@@@@@","c1ccc2c(c1)c3cccc4c3c2cc5ccccc54","322"
"-3.611","1","212.25199999999998","2","2","2","41.13","-3.15","f`qQ@@DX@drlrj~gV|uP@@@@@@","O=C(Nc1ccccc1)Nc2ccccc2","323"
"-2.272","1","232.239","2","2","2","75.27000000000001","-2.322","fhiQ`@DX@pRSJswJ}N^BuSMA@P@@","CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ","324"
"-5.686","1","257.547","0","2","1","0.0","-6.29","foA@C@@QAHatQdTTTraRwAFmAD@@P@@@","Clc1ccc(cc1)c2cccc(Cl)c2Cl ","325"
"-2.867","1","206.289","1","1","2","32.34","-3.536","do}H@DpLbbbLRVTWVj`@j@@","CC(C)c1ccc(NC(=O)N(C)C)cc1","326"
"-2.231","1","259.762","0","1","5","46.09","-1.716","f`aqA@DDthDQpHRYWUnVcH@Jfj`@@","CCN(CC)C(=O)CSc1ccc(Cl)nn1","327"
"-1.365","1","102.17699999999998","1","0","2","20.23","-1.04","gNq@@dmMUP@","CCC(C)(C)CO","328"
"-1.899","1","130.18699999999998","0","0","4","26.3","-1.75","diDD@@QIeUZjh@@","CCCOC(=O)CCC","329"
"-2.6060000000000003","1","227.13199999999998","0","1","3","129.42000000000002","-3.22","f`appCHRtAAkN}BT]J]S[o\dwLmmpeM@QDs@@@","Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O","330"
"-4.99","1","397.52400000000006","1","1","10","64.63","-4.2","fn}`P`LPQxH@cPQ[p\DYIHUDdemIdhhhruAADuUT@@@","CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1","331"
"-2.9160000000000004","2","98.18900000000001","0","1","0","0.0","-3.51","gOp@DiUkjj`@","C1CCCCCC1","332"
"-0.757","1","88.10599999999998","0","0","3","26.3","-0.49","gGP`@deUj`@","CCCOC=O","333"
"-3.585","1","134.22199999999995","0","1","1","0.0","-3.76","deT@@DjYYZPbJ@@@","CC(C)c1ccccc1C","334"
"-2.392","1","127.574","1","1","0","26.02","-1.37","daF@`FBHRYVkh@`@@","Nc1cccc(Cl)c1","335"
"-2.938","1","100.20499999999998","0","0","2","0.0","-4.26","gNp@LdbLjj@@","CC(C)CC(C)C","336"
"-4.2010000000000005","2","168.195","0","3","0","13.14","-4.6","dk|H@@RfYU_JGUN`@@B@@@","o1c2ccccc2c3ccccc13","337"
"-3.1839999999999997","1","286.34900000000005","0","2","4","61.830000000000005","-3.42","fleAR@HHpXH@cIIChdieIbiJMYZ`@jjhhVh@@","CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C","338"
